date,inflation
10-May,0.0416
10-Jun,0.0505
10-Jul,0.0622
10-Aug,0.0644
10-Sep,0.058
10-Oct,0.0567
10-Nov,0.0633
10-Dec,0.0696
11-Jan,0.0702
11-Feb,0.0684
11-Mar,0.0665
11-Apr,0.0616
11-May,0.0598
11-Jun,0.0554
11-Jul,0.0461
11-Aug,0.0479
11-Sep,0.0461
11-Oct,0.0442
11-Nov,0.0415
11-Dec,0.0379
12-Jan,0.0365
12-Feb,0.0356
12-Mar,0.0397
12-Apr,0.045
12-May,0.0445
12-Jun,0.0453
12-Jul,0.0456
12-Aug,0.0458
12-Sep,0.0431
12-Oct,0.0461
12-Nov,0.0432
12-Dec,0.043
13-Jan,0.0457
13-Feb,0.0531
13-Mar,0.059
13-Apr,0.0557
13-May,0.0547
13-Jun,0.059
13-Jul,0.0861
13-Aug,0.0879
13-Sep,0.084
13-Oct,0.0832
13-Nov,0.0837
13-Dec,0.0838
14-Jan,0.0822
14-Feb,0.0775
14-Mar,0.0732
14-Apr,0.0725
14-May,0.0732
14-Jun,0.067
14-Jul,0.0453
14-Aug,0.0399
14-Sep,0.0453
14-Oct,0.0483
14-Nov,0.0623
14-Dec,0.0836
15-Jan,0.0696
15-Feb,0.0629
15-Mar,0.0638
15-Apr,0.0679
15-May,0.0715
15-Jun,0.0726
15-Jul,0.0726
15-Aug,0.0718
15-Sep,0.0683
15-Oct,0.0625
15-Nov,0.0489
15-Dec,0.0335
16-Jan,0.0414
16-Feb,0.0442
16-Mar,0.0445
16-Apr,0.036
16-May,0.0333
16-Jun,0.0345
16-Jul,0.0321
16-Aug,0.0279
16-Sep,0.0307
16-Oct,0.0331
16-Nov,0.0358
16-Dec,0.0302
17-Jan,0.0349
17-Feb,0.0383
17-Mar,0.0361
17-Apr,0.0417
17-May,0.0433
17-Jun,0.0437
17-Jul,0.0388
17-Aug,0.0382
17-Sep,0.0372
17-Oct,0.0358
17-Nov,0.033
17-Dec,0.0361
18-Jan,0.0325
18-Feb,0.0318
18-Mar,0.034
18-Apr,0.0341
18-May,0.0323
18-Jun,0.0312
18-Jul,0.0318
18-Aug,0.032
18-Sep,0.0288
18-Oct,0.0316
18-Nov,0.0323
18-Dec,0.0313
19-Jan,0.0282
19-Feb,0.0257
19-Mar,0.0248
19-Apr,0.0283
19-May,0.0332
19-Jun,0.0328
19-Jul,0.0332
19-Aug,0.0349
19-Sep,0.0339
19-Oct,0.0313
19-Nov,0.03
19-Dec,0.0272
20-Jan,0.0268
20-Feb,0.0298
20-Mar,0.0296
20-Apr,0.0267
